date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2021-11-05,122006.30224331202,3000.4708246393698,2996.584262244976,855,427,288,346,302,266,154,179,89,28
2021-11-06,122232.6888057064,3222.9708246393698,1409.3342622449761,689,194,130,96,107,67,36,49,18,5
2021-11-07,123042.3253681008,2218.9708246393698,1489.3342622449761,613,316,92,92,102,89,42,64,28,7
2021-11-08,123320.96193049519,1767.97082463937,3663.834262244976,715,828,501,330,346,317,188,228,107,45
2021-11-09,122617.84849288959,2960.7208246393698,3430.036643197357,749,364,499,339,436,369,204,279,108,54
2021-11-10,122177.24696004589,2989.4351103536555,4071.0866431973573,942,515,502,452,523,404,211,271,151,38
2021-11-11,121839.8954272022,3733.7351103536557,669.586643197357,282,69,53,56,61,46,24,38,12,7
2021-11-12,122390.54389435849,1220.2351103536557,2989.0866431973573,458,922,298,291,332,258,116,194,83,30
2021-11-13,122366.85902818145,2965.4017770203222,1312.4419063552518,579,194,106,101,111,70,38,59,14,3
2021-11-14,123126.47679358337,2072.0596717571643,1390.9419063552518,584,273,131,91,95,80,32,61,22,9
2021-11-15,123498.09455898528,1762.5596717571643,3648.6580353875097,716,791,600,304,357,341,201,278,106,30
2021-11-16,122674.56178675278,2825.1252631550137,3488.6580353875097,813,331,496,386,432,335,208,232,110,43
2021-11-17,122291.02901452029,3105.1252631550137,3450.6580353875097,852,361,416,344,399,349,205,277,126,32
2021-11-18,121867.32957562112,3026.958596488347,3293.5630766458903,822,443,209,462,440,350,193,247,119,53
2021-11-19,121693.1458879683,3119.379388993075,3104.039267122081,894,491,285,283,336,250,146,207,103,34
2021-11-20,121755.7479146012,3166.6412937549794,1379.039267122081,671,162,90,86,115,62,36,42,14,7
2021-11-21,122487.01660790078,2110.307960421646,1913.350370152384,692,343,185,148,206,162,103,144,59,29
2021-11-22,122416.47593150336,1842.8096937549794,3739.909893961908,731,811,491,309,394,346,148,209,130,33
2021-11-23,121275.39954082025,2598.833503278789,3537.3543384063523,737,393,556,319,409,365,209,264,119,32
2021-11-24,120505.6009279149,2767.5557255010112,3106.2376717396855,825,374,408,297,363,260,145,176,97,38
2021-11-25,119906.51898167623,2507.155725501011,1050.2376717396855,484,133,81,73,95,63,25,46,14,6
2021-11-26,120353.35370210423,1497.072392167678,1242.0948145968284,460,291,125,75,87,70,34,44,12,5
2021-11-27,121103.9027082465,1992.6438207391066,1127.4281479301617,558,162,97,69,86,60,33,30,17,3
2021-11-28,121885.45171438878,1908.9771540724398,1400.1781479301617,558,189,120,91,112,98,48,73,42,17
2021-11-29,122261.5840538644,1776.310487405773,3570.6876717396854,651,667,689,328,328,328,160,224,108,40
2021-11-30,121533.79734572096,2842.9009635962493,3263.3543384063523,740,360,411,345,398,346,176,253,118,48
2021-12-01,121364.01063757752,3093.567630262916,3254.6043384063523,816,352,288,369,360,344,181,255,143,49
2021-12-02,121145.62392943408,3036.217630262916,3338.2927260421084,880,483,214,363,406,391,175,287,124,55
2021-12-03,121010.08538336249,3202.754179970518,2884.7927260421084,861,474,204,286,307,242,115,168,86,40
2021-12-04,121381.04683729091,3255.754179970518,1346.9593927087749,684,212,100,58,80,86,32,35,13,3
2021-12-05,122238.17495788597,2204.0875133038517,1679.6260593754416,590,405,133,76,147,113,52,89,43,18
2021-12-06,122492.6364118144,1934.0875133038517,3623.1260593754414,728,848,477,248,338,321,160,254,124,47
2021-12-07,121681.01453240946,2811.504179970518,3408.1927260421085,757,362,499,284,396,389,186,303,152,62
2021-12-08,121412.8593196712,3140.0375133038515,3355.0915355659176,822,374,416,247,384,340,192,258,138,59
2021-12-09,121252.12077359961,3194.352989494328,3122.361469120735,836,421,313,270,378,308,166,244,103,37
2021-12-10,121098.14053317587,2968.3812286969855,2390.0119601663732,733,403,232,192,236,199,110,154,76,30
2021-12-11,121294.97600621254,2586.8474332030514,1118.8452934997067,475,199,85,77,81,75,29,34,17,2
2021-12-12,122074.4781459159,1898.3474332030514,1640.8452934997067,523,323,129,133,104,108,65,119,43,22
2021-12-13,122266.31361895257,1832.680766536385,3590.0649904694037,675,717,519,317,304,334,179,263,159,54
2021-12-14,121416.76272835289,2740.5140998697184,3633.73165713607,779,352,511,398,387,378,208,300,185,61
2021-12-15,121042.54517108653,3259.5140998697184,3151.0796424840555,782,323,387,318,340,340,173,230,159,41
2021-12-16,120697.37889587146,2805.9133672689854,3584.667693530978,753,517,324,390,434,377,192,300,152,52
2021-12-17,120102.41841229606,2989.7072099555703,2852.046972810257,798,432,204,322,307,234,164,182,117,34
2021-12-18,120259.98225304497,3009.610813559174,1174.3803061435904,598,162,80,75,85,51,35,38,23,3
2021-12-19,120687.87942712722,1602.2774802258405,1877.0429538977276,550,440,186,141,160,135,71,115,63,18
2021-12-20,120820.82326787614,2009.9867946466443,3888.822054426828,745,748,634,402,424,376,212,265,167,40
2021-12-21,119603.86631497426,2671.865101524951,3933.1720544268283,768,330,593,377,420,372,215,327,175,40
2021-12-22,118418.20936207239,2747.515101524951,2495.3538726086463,659,327,315,243,298,207,134,163,80,22
2021-12-23,117844.29483341293,1921.4393439491935,2282.8538726086463,606,402,241,225,244,206,98,142,74,17
2021-12-24,117604.21363808682,2042.772677282527,1298.8538726086463,515,235,117,116,90,66,40,65,20,5
2021-12-25,117894.13244276069,1588.772677282527,812.5205392753129,401,135,63,32,57,30,28,26,15,3
2021-12-26,118419.8845807679,1338.272677282527,1446.1569029116765,451,281,185,127,123,127,63,82,47,18
2021-12-27,118887.22762786603,1913.4999500097997,2507.9069029116763,563,372,430,206,227,197,101,183,112,41
2021-12-28,118590.57067496415,2211.2499500097997,2471.030057534831,556,299,367,248,283,173,129,189,94,27
2021-12-29,118640.70587435443,2521.1652569251064,2561.645442150216,697,373,262,310,259,170,128,199,90,30
2021-12-30,118407.26415066778,2328.2037184635683,1990.6454421502158,642,310,176,212,198,145,81,91,45,13
2021-12-31,118726.82242698113,2310.2037184635683,1100.6398865946603,448,179,85,78,120,67,33,46,27,1
2022-01-01,119733.98070329448,2107.7981629080127,1201.6259977057714,665,210,59,33,68,38,28,44,17,2
2022-01-02,120250.20842405228,1717.8537184635682,1454.2775128572864,447,337,167,104,144,91,62,70,37,7
2022-01-03,120579.19372056765,1783.262809372659,2995.2775128572866,567,598,555,224,289,268,151,179,103,23
2022-01-04,120018.67901708304,2434.762809372659,2878.444179523953,634,322,438,284,393,259,148,194,103,36
2022-01-05,119921.1643135984,2780.9294760393254,2703.4497350795086,651,315,279,216,383,263,176,183,114,43
2022-01-06,119825.271832336,2607.5572538171036,2706.1012502310236,685,371,248,233,403,299,161,236,99,35
2022-01-07,119558.92480561904,2439.754223514073,2198.553631183405,580,358,213,187,237,186,126,131,71,18
2022-01-08,120070.2515884259,2709.8804139902636,757.5536311834048,328,100,53,44,48,29,19,26,7,3
2022-01-09,120680.57837123277,1367.8804139902636,1165.1100639319427,401,328,104,66,54,48,24,45,23,7
2022-01-10,121014.44024175892,1498.9719344581,3047.110063931943,575,677,449,232,286,240,166,202,100,30
2022-01-11,120538.6354456184,2571.3052677914334,2799.9392892840556,685,216,468,274,337,284,150,204,100,28
2022-01-12,120262.60353680185,2523.9073804674895,3054.1444174891835,708,319,369,296,392,309,161,247,134,66
2022-01-13,120046.620345934,2838.1612266213356,2833.8598936796598,782,353,218,278,342,284,158,202,98,42
2022-01-14,119900.30596458996,2687.5455123356214,2668.804338124104,797,376,250,239,272,231,125,172,97,33
2022-01-15,120254.7693610237,3023.2677345578436,1149.4106803069951,563,144,67,88,86,63,33,50,16,5
2022-01-16,120807.55547132174,1702.1967906050413,1077.4106803069951,461,235,80,52,48,44,29,29,22,3
2022-01-17,121051.34158161978,1321.1967906050413,1305.5773469736619,342,250,169,104,107,119,57,74,40,15
2022-01-18,121370.46102525116,1624.6967906050413,2871.4106803069953,518,432,608,255,254,266,138,198,84,46
2022-01-19,120965.24713554922,2466.1967906050413,2968.8440136403283,660,292,505,262,341,305,208,224,121,50
2022-01-20,120841.03324584725,2844.6301239383747,2726.3440136403283,748,287,304,282,299,275,131,162,81,32
2022-01-21,120751.31935614531,2636.6301239383747,2420.794104056242,677,364,210,266,241,230,97,154,104,22
2022-01-22,121013.99901677488,2683.473764685813,1122.127437389575,546,170,69,66,71,53,41,34,12,3
2022-01-23,121800.67867740444,1908.8070980191462,1322.627437389575,547,252,73,90,94,82,36,49,28,10
2022-01-24,122173.35833803401,1695.3070980191462,3113.4607707229084,662,701,419,266,270,249,140,197,98,31
2022-01-25,121580.0379986636,2520.1404313524795,2755.672309184447,641,299,357,253,317,263,170,222,117,54
2022-01-26,121435.10227467777,2610.7365851986333,3056.8723091844467,740,306,360,307,409,346,180,275,129,39
2022-01-27,121177.23321735863,2799.0032518653,2902.8723091844467,670,376,281,224,362,293,141,210,111,45
2022-01-28,121064.86416003948,2790.5032518653,2552.9811722512045,788,413,228,212,257,213,107,173,80,29
2022-01-29,121397.56650850753,2885.683520719253,1270.2811722512047,655,172,104,69,98,67,39,38,25,2
2022-01-30,122246.40219030892,2119.1168540525864,1384.9478389178712,575,253,100,78,90,80,57,83,83,29
2022-01-31,122581.2378721103,1719.7835207192531,3375.697838917871,669,829,433,241,314,252,140,224,107,48
2022-02-01,121862.57355391167,2657.033520719253,3224.197838917871,726,288,483,316,366,316,171,270,169,48
2022-02-02,121672.40923571306,3034.033520719253,2939.0311722512047,762,302,356,258,340,266,194,222,134,54
2022-02-03,121370.74491751444,2637.3668540525864,2587.9311722512048,663,367,246,267,300,252,129,171,120,34
2022-02-04,121161.18059931582,2378.3668540525864,2142.357030094342,613,411,204,206,235,182,74,127,73,17
2022-02-05,121745.76517817602,2726.941608954547,1268.5236967610085,625,168,109,96,88,43,31,54,28,2
2022-02-06,122597.5164237029,2120.2749422878805,1391.5236967610085,613,250,112,79,92,63,37,62,28,11
2022-02-07,122968.26766922977,1762.2749422878805,3367.357030094342,659,745,479,291,325,315,167,253,165,35
2022-02-08,122607.01891475664,3006.108275621214,3179.9070300943417,714,286,396,314,326,307,180,281,161,61
2022-02-09,122410.37016028352,2983.2582756212137,3346.2122932522366,801,346,371,319,364,324,209,310,205,56
2022-02-10,122237.01614265249,3172.858275621214,3063.2122932522366,828,418,264,345,324,288,177,216,132,41
2022-02-11,122314.16212502147,3140.358275621214,2725.4658624958065,867,444,265,228,274,218,121,175,89,13
2022-02-12,122717.99635103384,3129.3000885081774,1318.9658624958065,649,193,117,78,86,63,26,57,18,14
2022-02-13,123445.33057704622,2046.3000885081776,1604.9658624958065,610,331,143,108,127,89,46,74,39,10
2022-02-14,123709.66480305858,1869.3000885081776,3339.8046752811947,737,738,560,258,263,258,150,218,130,35
2022-02-15,123190.5323624043,2820.672234626899,3348.8046752811947,740,346,496,315,361,311,184,281,166,51
2022-02-16,123052.89992175,3211.172234626899,3322.8046752811947,858,321,389,298,396,330,227,268,168,45
2022-02-17,122861.2674810957,3131.172234626899,2926.3046752811947,857,413,250,279,326,230,130,214,121,25
2022-02-18,122732.6350404414,2797.672234626899,3028.3046752811947,835,495,300,296,367,216,149,201,102,37
2022-02-19,122959.0025997871,3254.672234626899,1412.5046752811947,707,196,134,96,94,65,32,42,28,3
2022-02-20,123770.07015913281,2223.572234626899,1602.1713419478615,657,325,121,105,114,68,57,64,41,8
2022-02-21,124203.13771847851,2035.2389012935657,2020.3089109586317,565,381,250,160,162,126,102,156,70,20
2022-02-22,124401.61230560954,2218.783498089656,3654.3089109586317,711,635,638,338,365,280,180,231,172,57
2022-02-23,123659.08689274057,2911.783498089656,3276.4755776252982,752,363,459,371,355,300,152,254,167,52
2022-02-24,123346.06147987158,2963.4501647563225,3286.3089109586317,787,402,357,343,401,318,181,254,173,53
2022-02-25,122801.03606700261,2741.283498089656,3082.9517681014886,821,458,282,303,369,235,142,220,145,46
2022-02-26,122906.51065413363,3188.426355232513,1428.4517681014888,681,180,110,99,115,83,46,56,44,3
2022-02-27,123701.81857459799,2223.7596885658463,1586.9517681014888,631,309,114,123,111,91,42,75,41,17
2022-02-28,123943.12649506234,1828.2596885658463,3795.2434347681556,680,866,475,313,383,329,192,281,188,61
2022-03-01,123064.3094155267,2916.426355232513,3050.910101434822,735,287,418,277,344,260,160,248,171,49
2022-03-02,123106.40900265773,3093.0096885658463,3346.4748650935085,821,392,393,305,425,305,159,265,190,61
2022-03-03,122860.32719015708,3100.3930525928567,3349.058198426842,852,441,331,300,437,305,144,259,181,68
2022-03-04,122833.74537765642,3322.4763859261902,2983.6153412839844,935,458,271,283,304,244,140,177,100,24
